url_path,views_total,views_unique
/sayantikabanik/capstone_isb,8,5
/sayantikabanik/capstone_isb/tree/main/weekly_reports,6,2
/sayantikabanik/capstone_isb/blob/main/weekly_reports/Approach_assumptions.docx,2,2
/sayantikabanik/capstone_isb/blob/main/weekly_reports/Capstone%20Weekly%20Update%20-%20Week%202.pptx,2,1
/sayantikabanik/capstone_isb/issues,2,1
/sayantikabanik/capstone_isb/actions,1,1
/sayantikabanik/capstone_isb/branches,1,1
/sayantikabanik/capstone_isb/commits,1,1
/sayantikabanik/capstone_isb/issues/31,1,1
