url_path,views_total,views_unique
/sayantikabanik/capstone_isb/tree/main/analysis_framework,15,2
/sayantikabanik/capstone_isb/tree/main/analysis_framework/utils,11,1
/sayantikabanik/capstone_isb,8,2
/sayantikabanik/capstone_isb/tree/main/analysis_framework/pipeline,4,1
/sayantikabanik/capstone_isb/tree/main/analysis_framework/dashboard,3,1
/sayantikabanik/capstone_isb/blob/main/analysis_framework/pipeline/process.py,2,1
/sayantikabanik/capstone_isb/blob/main/analysis_framework/utils/burnout_index_calculation.py,2,1
/sayantikabanik/capstone_isb/blob/main/analysis_framework/utils/extract_location.py,2,1
/sayantikabanik/capstone_isb/blob/main/analysis_framework/utils/map_maj_location.py,2,1
/sayantikabanik/capstone_isb/blob/main/analysis_framework/utils/static.py,2,1
