date,open,high,low,close,volume
2021-03-23,361.7,364.16,352.48,354.42,1551792.0
2021-03-22,356.22,363.8,351.37,359.8,1701599.0
2021-03-19,353.59,360.13,342.9,355.8,3020019.0
2021-03-18,380.68,381.18,350.06,352.05,3312043.0
2021-03-17,358.31,388.91,357.03,386.27,3570705.0
2021-03-16,380.12,388.3,365.15,373.22,2162381.0
2021-03-15,366.68,369.97,361.01,369.58,1438976.0
2021-03-12,368.0,371.35,357.595,369.03,1557769.0
2021-03-11,370.02,377.14,362.6,374.25,1579866.0
2021-03-10,373.0,377.0,351.12,352.77,2238396.0
2021-03-09,352.26,365.96,343.74,362.36,3662903.0
2021-03-08,338.84,349.46,320.0,320.59,2903226.0
2021-03-05,350.0,350.36,311.44,337.28,4230446.0
2021-03-04,356.97,371.68,328.1,346.05,4204568.0
2021-03-03,390.53,393.05,361.11,364.52,2832795.0
2021-03-02,416.99,418.0,393.645,394.62,1882055.0
2021-03-01,405.03,417.1099,399.3525,415.78,2173558.0
2021-02-26,388.15,395.0,376.0,392.88,2834523.0
2021-02-25,410.0,417.11,377.07,377.59,2772331.0
2021-02-24,402.81,414.725,392.2809,408.96,2282561.0
2021-02-23,388.54,414.44,371.7,410.59,4417204.0
2021-02-22,422.2,430.0,406.0,409.21,2812718.0
2021-02-19,427.01,434.33,423.96,425.55,6473341.0
2021-02-18,441.0,457.3,437.0,443.49,6392463.0
2021-02-17,420.0,420.0,398.04,411.65,2391230.0
2021-02-16,433.92,435.75,411.53,421.26,2658706.0
2021-02-12,430.41,437.9,421.18,435.29,1239848.0
2021-02-11,428.98,441.19,422.0,433.19,1753882.0
2021-02-10,412.32,437.98,411.67,433.3,2818657.0
2021-02-09,409.0,411.92,402.26,406.57,1799934.0
2021-02-08,402.01,407.7699,395.7,399.51,1021213.0
2021-02-05,398.99,401.0,395.68,400.06,1216513.0
2021-02-04,391.0,399.5,387.01,399.49,1186989.0
2021-02-03,391.2,393.605,381.68,389.5,1637932.0
