referrer,views_total,views_unique
github.com,55,5
airmeet.com,14,9
global2024.pydata.org,12,7
Google,7,6
canva.com,2,2
sayantikabanik.github.io,2,2
bsky.app,1,1
syncpilot.atlassian.net,1,1
