time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-24 00:00:00+00:00,72,4,205.0,2.0
2024-10-25 00:00:00+00:00,46,10,215.0,14.0
2024-10-26 00:00:00+00:00,14,3,54.0,6.0
2024-10-27 00:00:00+00:00,3,3,20.0,12.0
2024-10-28 00:00:00+00:00,7,2,38.0,6.0
2024-10-29 00:00:00+00:00,7,4,96.0,2.0
2024-10-30 00:00:00+00:00,3,2,10.0,3.0
2024-10-31 00:00:00+00:00,1,1,2.0,2.0
2024-11-01 00:00:00+00:00,1,1,6.0,1.0
2024-11-02 00:00:00+00:00,1,1,2.0,2.0
2024-11-03 00:00:00+00:00,4,3,2.0,1.0
2024-11-04 00:00:00+00:00,3,3,12.0,4.0
2024-11-05 00:00:00+00:00,4,3,6.0,2.0
2024-11-06 00:00:00+00:00,1,1,,
