url_path,views_total,views_unique
/sayantikabanik/DataJourney/pull/22,7,1
/sayantikabanik/DataJourney,6,2
/sayantikabanik/DataJourney/pulls,6,1
/sayantikabanik/DataJourney/blob/main/README.md,4,1
/sayantikabanik/DataJourney/actions,3,1
/sayantikabanik/DataJourney/actions/runs/9511264264,3,1
/sayantikabanik/DataJourney/actions/runs/9511322991,3,1
/sayantikabanik/DataJourney/pull/21/files,3,1
/sayantikabanik/DataJourney/actions/runs/9494501076/job/26164971070,2,1
/sayantikabanik/DataJourney/actions/runs/9511264264/job/26217069156,2,1
