url_path,views_total,views_unique
/sayantikabanik/DataJourney/actions,36,1
/sayantikabanik/DataJourney,18,7
/sayantikabanik/DataJourney/blob/main/README.md,12,1
/sayantikabanik/DataJourney/actions/runs/9891730432/job/27322781265,10,1
/sayantikabanik/DataJourney/tree/main/.github/workflows,8,2
/sayantikabanik/DataJourney/tree/github-repo-stats/sayantikabanik,8,1
/sayantikabanik/DataJourney/tree/main,7,2
/sayantikabanik/DataJourney/tree/main/.github,7,2
/sayantikabanik/DataJourney/pull/31,7,1
/sayantikabanik/DataJourney/actions/runs/9891488501,6,1
