time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-25 00:00:00+00:00,2,2,2.0,1.0
2023-01-26 00:00:00+00:00,2,2,,
2023-01-27 00:00:00+00:00,2,2,1.0,1.0
2023-01-28 00:00:00+00:00,3,3,2.0,1.0
2023-01-29 00:00:00+00:00,5,3,,
2023-01-30 00:00:00+00:00,5,3,,
2023-01-31 00:00:00+00:00,3,2,,
2023-02-01 00:00:00+00:00,44,13,120.0,2.0
2023-02-02 00:00:00+00:00,8,6,8.0,1.0
2023-02-03 00:00:00+00:00,7,4,7.0,2.0
2023-02-04 00:00:00+00:00,6,4,,
2023-02-05 00:00:00+00:00,6,5,,
2023-02-06 00:00:00+00:00,9,5,,
2023-02-07 00:00:00+00:00,2,2,5.0,1.0
