url_path,views_total,views_unique
/sayantikabanik/DataJourney/blob/main/.github/workflows/static.yml,77,1
/sayantikabanik/DataJourney,60,9
/sayantikabanik/DataJourney/actions/workflows/static.yml,58,1
/sayantikabanik/DataJourney/edit/main/.github/workflows/static.yml,39,1
/sayantikabanik/DataJourney/tree/main/.github/workflows,39,1
/sayantikabanik/DataJourney/actions/workflows/pages/pages-build-deployment,36,1
/sayantikabanik/DataJourney/tree/main/.github,33,1
/sayantikabanik/DataJourney/blob/main/README.md,29,1
/sayantikabanik/DataJourney/actions,27,1
/sayantikabanik/DataJourney/deployments/github-pages,16,1
