time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-03 00:00:00+00:00,4,3,3.0,1.0
2023-09-04 00:00:00+00:00,4,3,1.0,1.0
2023-09-05 00:00:00+00:00,4,3,,
2023-09-06 00:00:00+00:00,4,3,,
2023-09-07 00:00:00+00:00,4,3,,
2023-09-08 00:00:00+00:00,4,3,7.0,1.0
2023-09-09 00:00:00+00:00,5,4,1.0,1.0
2023-09-10 00:00:00+00:00,4,3,,
2023-09-11 00:00:00+00:00,4,3,,
2023-09-12 00:00:00+00:00,4,3,,
2023-09-13 00:00:00+00:00,7,6,1.0,1.0
2023-09-14 00:00:00+00:00,7,4,,
2023-09-15 00:00:00+00:00,8,4,1.0,1.0
2023-09-16 00:00:00+00:00,1,1,,
