time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-08 00:00:00+00:00,11,5,99.0,8.0
2024-09-09 00:00:00+00:00,5,3,45.0,8.0
2024-09-10 00:00:00+00:00,5,4,30.0,5.0
2024-09-11 00:00:00+00:00,4,4,3.0,2.0
2024-09-12 00:00:00+00:00,5,3,2.0,1.0
2024-09-13 00:00:00+00:00,2,2,5.0,2.0
2024-09-14 00:00:00+00:00,4,2,,
2024-09-15 00:00:00+00:00,6,4,1.0,1.0
2024-09-16 00:00:00+00:00,4,2,3.0,1.0
2024-09-17 00:00:00+00:00,9,3,30.0,2.0
2024-09-18 00:00:00+00:00,5,3,32.0,3.0
2024-09-19 00:00:00+00:00,2,2,16.0,2.0
2024-09-20 00:00:00+00:00,4,2,9.0,3.0
2024-09-21 00:00:00+00:00,2,2,3.0,1.0
