url_path,views_total,views_unique
/sayantikabanik/DataJourney,71,12
/sayantikabanik/DataJourney/tree/main/.github,31,1
/sayantikabanik/DataJourney/tree/main/.github/workflows,31,1
/sayantikabanik/DataJourney/pulls,20,1
/sayantikabanik/DataJourney/blob/main/README.md,18,1
/sayantikabanik/DataJourney/actions/workflows/static.yml,17,1
/sayantikabanik/DataJourney/blob/main/.github/workflows/static.yml,16,1
/sayantikabanik/DataJourney/pull/34,14,3
/sayantikabanik/DataJourney/actions,13,1
/sayantikabanik/DataJourney/blob/main/.github/workflows/code-complexity-check.yml,12,1
