url_path,views_total,views_unique
/sayantikabanik/DataJourney/blob/main/.github/workflows/static.yml,70,1
/sayantikabanik/DataJourney,48,6
/sayantikabanik/DataJourney/actions/workflows/static.yml,42,1
/sayantikabanik/DataJourney/tree/main/.github,39,2
/sayantikabanik/DataJourney/tree/main/.github/workflows,38,1
/sayantikabanik/DataJourney/edit/main/.github/workflows/static.yml,30,1
/sayantikabanik/DataJourney/actions,25,1
/sayantikabanik/DataJourney/deployments/github-pages,19,1
/sayantikabanik/DataJourney/actions/workflows/datasets-web.yml,18,1
/sayantikabanik/DataJourney/tree/github-repo-stats,14,1
