url_path,views_total,views_unique
/sayantikabanik/DataJourney,182,118
/sayantikabanik/DataJourney/blob/main/README.md,18,3
/sayantikabanik/DataJourney/commit/214b147083d7a45ead07af2853edc6bcc5cb1bf0,9,8
/sayantikabanik/DataJourney/issues,7,1
/sayantikabanik/DataJourney/pulls,6,1
/sayantikabanik/DataJourney/pull/88,5,1
/sayantikabanik/DataJourney/pull/88/files,5,1
/sayantikabanik/DataJourney/actions,3,1
/sayantikabanik/DataJourney/edit/main/README.md,3,1
/sayantikabanik/DataJourney/issues/84,3,1
