referrer,views_total,views_unique
news.hada.io,113,82
github.com,105,2
habr.com,24,4
linkedin.com,20,1
Google,10,6
com.linkedin.android,7,1
sayantikabanik.substack.com,5,1
mail.google.com,3,2
com.google.android.gm,2,2
mail.qq.com,1,1
