time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-02 00:00:00+00:00,7,5,26.0,3.0
2024-12-03 00:00:00+00:00,12,4,38.0,3.0
2024-12-04 00:00:00+00:00,7,2,34.0,4.0
2024-12-05 00:00:00+00:00,3,2,29.0,16.0
2024-12-06 00:00:00+00:00,9,3,37.0,3.0
2024-12-07 00:00:00+00:00,1,1,16.0,12.0
2024-12-08 00:00:00+00:00,4,3,2.0,2.0
2024-12-09 00:00:00+00:00,5,3,12.0,4.0
2024-12-10 00:00:00+00:00,7,2,11.0,5.0
2024-12-11 00:00:00+00:00,11,4,39.0,1.0
2024-12-12 00:00:00+00:00,5,4,3.0,3.0
2024-12-13 00:00:00+00:00,6,4,4.0,2.0
2024-12-14 00:00:00+00:00,5,3,,
2024-12-15 00:00:00+00:00,6,3,,
