time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-26 00:00:00+00:00,1.0,1.0,,
2024-06-28 00:00:00+00:00,7.0,3.0,71.0,1.0
2024-06-29 00:00:00+00:00,2.0,2.0,3.0,1.0
2024-06-30 00:00:00+00:00,5.0,3.0,27.0,2.0
2024-07-01 00:00:00+00:00,1.0,1.0,,
2024-07-02 00:00:00+00:00,1.0,1.0,8.0,2.0
2024-07-03 00:00:00+00:00,24.0,7.0,53.0,1.0
2024-07-05 00:00:00+00:00,7.0,3.0,8.0,1.0
2024-07-06 00:00:00+00:00,4.0,2.0,,
2024-07-07 00:00:00+00:00,,,27.0,1.0
2024-07-08 00:00:00+00:00,1.0,1.0,7.0,1.0
2024-07-09 00:00:00+00:00,1.0,1.0,5.0,2.0
