time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-27 00:00:00+00:00,5,4,9,5
2024-11-28 00:00:00+00:00,4,3,12,4
2024-11-29 00:00:00+00:00,13,5,33,2
2024-11-30 00:00:00+00:00,4,3,3,1
2024-12-01 00:00:00+00:00,5,4,3,1
2024-12-02 00:00:00+00:00,7,5,26,3
2024-12-03 00:00:00+00:00,12,4,38,3
2024-12-04 00:00:00+00:00,7,2,34,4
2024-12-05 00:00:00+00:00,3,2,29,16
2024-12-06 00:00:00+00:00,9,3,37,3
2024-12-07 00:00:00+00:00,1,1,16,12
2024-12-08 00:00:00+00:00,4,3,2,2
2024-12-09 00:00:00+00:00,5,3,12,4
2024-12-10 00:00:00+00:00,7,2,11,5
