referrer,views_total,views_unique
com.google.android.gm,38,27
github.com,30,8
mail.google.com,24,20
Google,17,8
linkedin.com,17,6
com.linkedin.android,7,6
global2024.pydata.org,3,2
beta.stoopinbox.com,2,1
urlsand.esvalabs.com,1,1
pretalx.com,1,1
