referrer,views_total,views_unique
com.google.android.gm,38,27
github.com,31,7
mail.google.com,22,18
Google,17,8
linkedin.com,7,5
com.linkedin.android,5,4
global2024.pydata.org,4,3
urlsand.esvalabs.com,1,1
pretalx.com,1,1
links.rediff.com,1,1
