referrer,views_total,views_unique
github.com,49,8
com.google.android.gm,35,25
Google,18,9
mail.google.com,17,13
global2024.pydata.org,6,4
canva.com,2,2
bsky.app,1,1
news.dataelixir.com,1,1
mail.qq.com,1,1
links.rediff.com,1,1
