time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-11 00:00:00+00:00,8.0,5.0,,
2024-06-12 00:00:00+00:00,3.0,3.0,,
2024-06-13 00:00:00+00:00,18.0,5.0,27.0,1.0
2024-06-14 00:00:00+00:00,11.0,5.0,32.0,1.0
2024-06-15 00:00:00+00:00,3.0,2.0,,
2024-06-16 00:00:00+00:00,2.0,1.0,,
2024-06-17 00:00:00+00:00,14.0,7.0,45.0,1.0
2024-06-18 00:00:00+00:00,6.0,3.0,,
2024-06-19 00:00:00+00:00,2.0,2.0,12.0,1.0
2024-06-20 00:00:00+00:00,14.0,8.0,38.0,1.0
2024-06-21 00:00:00+00:00,5.0,3.0,,
2024-06-22 00:00:00+00:00,1.0,1.0,,
2024-06-23 00:00:00+00:00,9.0,3.0,23.0,1.0
2024-06-24 00:00:00+00:00,,,1.0,1.0
