time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-16 00:00:00+00:00,,,4,3
2025-01-17 00:00:00+00:00,11.0,4.0,31,7
2025-01-18 00:00:00+00:00,8.0,3.0,9,3
2025-01-19 00:00:00+00:00,5.0,3.0,3,3
2025-01-20 00:00:00+00:00,5.0,4.0,11,1
2025-01-21 00:00:00+00:00,3.0,2.0,9,3
2025-01-22 00:00:00+00:00,6.0,3.0,9,5
2025-01-23 00:00:00+00:00,3.0,2.0,9,4
2025-01-24 00:00:00+00:00,24.0,4.0,44,4
2025-01-25 00:00:00+00:00,6.0,3.0,6,4
2025-01-26 00:00:00+00:00,5.0,3.0,16,4
2025-01-27 00:00:00+00:00,5.0,3.0,4,3
2025-01-28 00:00:00+00:00,4.0,2.0,10,5
2025-01-29 00:00:00+00:00,5.0,3.0,2,2
2025-01-30 00:00:00+00:00,8.0,3.0,13,2
