time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-05 00:00:00+00:00,3,3,8,2
2025-01-06 00:00:00+00:00,18,6,44,9
2025-01-07 00:00:00+00:00,27,6,97,5
2025-01-08 00:00:00+00:00,15,3,46,4
2025-01-09 00:00:00+00:00,5,3,14,9
2025-01-10 00:00:00+00:00,3,2,3,2
2025-01-11 00:00:00+00:00,7,4,7,3
2025-01-12 00:00:00+00:00,4,3,4,3
2025-01-13 00:00:00+00:00,4,3,6,4
2025-01-14 00:00:00+00:00,9,3,53,12
2025-01-15 00:00:00+00:00,5,3,41,7
2025-01-16 00:00:00+00:00,5,3,8,7
2025-01-17 00:00:00+00:00,11,4,31,7
2025-01-18 00:00:00+00:00,7,2,9,3
