referrer,views_total,views_unique
news.hada.io,513,355
github.com,51,7
habr.com,24,4
linkedin.com,11,2
Google,10,7
sayantikabanik.github.io,6,3
mail.google.com,4,4
com.linkedin.android,4,3
com.google.android.gm,3,3
l.facebook.com,2,2
