time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-09 00:00:00+00:00,2,2,,
2024-11-10 00:00:00+00:00,5,3,,
2024-11-11 00:00:00+00:00,3,2,14.0,1.0
2024-11-12 00:00:00+00:00,3,2,10.0,1.0
2024-11-13 00:00:00+00:00,2,2,3.0,1.0
2024-11-14 00:00:00+00:00,5,3,22.0,1.0
2024-11-15 00:00:00+00:00,8,4,14.0,3.0
2024-11-16 00:00:00+00:00,4,3,4.0,2.0
2024-11-17 00:00:00+00:00,10,4,5.0,2.0
2024-11-18 00:00:00+00:00,9,4,50.0,7.0
2024-11-19 00:00:00+00:00,4,4,26.0,7.0
2024-11-20 00:00:00+00:00,4,2,9.0,2.0
2024-11-21 00:00:00+00:00,13,6,39.0,4.0
2024-11-22 00:00:00+00:00,3,3,3.0,2.0
