time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-23 00:00:00+00:00,6,5,1,1
2026-08-24 00:00:00+00:00,15,8,3,2
2026-08-25 00:00:00+00:00,9,6,9,2
2026-08-26 00:00:00+00:00,6,5,6,4
2026-08-27 00:00:00+00:00,14,9,2,2
2026-08-28 00:00:00+00:00,6,5,9,5
2026-08-29 00:00:00+00:00,161,9,5,3
2026-08-30 00:00:00+00:00,4,3,4,1
2026-08-31 00:00:00+00:00,32,21,4,1
2026-09-01 00:00:00+00:00,15,7,9,4
2026-09-02 00:00:00+00:00,9,8,4,3
2026-09-03 00:00:00+00:00,16,5,7,4
2026-09-04 00:00:00+00:00,16,9,4,3
2026-09-05 00:00:00+00:00,7,6,3,2
