url_path,views_total,views_unique
/sayantikabanik/DataJourney/commits/1f8f18f70629dfec7c0b0d84f3735f1fd367a2b8,5,1
/sayantikabanik/DataJourney,4,1
/sayantikabanik/DataJourney/actions/runs/7073292833,4,1
/sayantikabanik/DataJourney/compare/main...test_bfg,3,1
/sayantikabanik/DataJourney/tree/test_bfg,3,1
/sayantikabanik/DataJourney/commit/952fe0bf40236ab60b18785e5c4567199da899a3,2,1
/sayantikabanik/DataJourney/commit/c016804e7b057953172de6f5f3f05da1c955877f,2,1
/sayantikabanik/DataJourney/actions/runs/7012137004,1,1
/sayantikabanik/DataJourney/commit/1f8f18f70629dfec7c0b0d84f3735f1fd367a2b8,1,1
/sayantikabanik/DataJourney/commits/test_bfg,1,1
