referrer,views_total,views_unique
github.com,109,7
news.hada.io,20,15
linkedin.com,20,1
com.linkedin.android,15,3
Google,8,4
news.dataelixir.com,5,5
sayantikabanik.substack.com,5,1
mail.google.com,3,2
github.blog,2,1
habr.com,2,1
