time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-02 00:00:00+00:00,5,4,10.0,3.0
2025-02-03 00:00:00+00:00,11,7,21.0,4.0
2025-02-04 00:00:00+00:00,33,8,29.0,4.0
2025-02-05 00:00:00+00:00,10,6,9.0,3.0
2025-02-06 00:00:00+00:00,11,5,31.0,5.0
2025-02-07 00:00:00+00:00,8,5,5.0,4.0
2025-02-08 00:00:00+00:00,10,6,1.0,1.0
2025-02-09 00:00:00+00:00,9,5,2.0,1.0
2025-02-10 00:00:00+00:00,36,14,117.0,6.0
2025-02-11 00:00:00+00:00,10,6,6.0,3.0
2025-02-12 00:00:00+00:00,58,16,181.0,3.0
2025-02-13 00:00:00+00:00,10,5,,
2025-02-14 00:00:00+00:00,7,4,6.0,4.0
2025-02-15 00:00:00+00:00,6,3,21.0,1.0
