time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-07 00:00:00+00:00,2,1,1.0,1.0
2024-08-08 00:00:00+00:00,6,3,31.0,2.0
2024-08-09 00:00:00+00:00,7,3,,
2024-08-10 00:00:00+00:00,11,4,19.0,1.0
2024-08-11 00:00:00+00:00,2,1,34.0,2.0
2024-08-12 00:00:00+00:00,7,3,,
2024-08-13 00:00:00+00:00,6,3,1.0,1.0
2024-08-14 00:00:00+00:00,5,3,,
2024-08-15 00:00:00+00:00,5,2,,
2024-08-16 00:00:00+00:00,5,2,,
2024-08-17 00:00:00+00:00,43,12,479.0,3.0
2024-08-18 00:00:00+00:00,1,1,,
2024-08-19 00:00:00+00:00,3,1,1.0,1.0
2024-08-20 00:00:00+00:00,3,2,,
